"","user","source_message_timestamp","channel"
"1","U01D3MR3E4T","1603352416.012400","0_announcements-read-only"
"2","U01D3MSU9HR","1603352472.012600","0_announcements-read-only"
"3","U01CWPSRRFY","1603352649.012800","0_announcements-read-only"
"4","U01D3FWKESW","1603352679.013000","0_announcements-read-only"
"5","U01DTCMB9CY","1603353936.013200","0_announcements-read-only"
"6","U01D3Q06135","1603354575.013400","0_announcements-read-only"
"7","U01CK0PV0KH","1603230165.001000","0_faq"
"8","U01CT0ZAS2J","1603259823.002000","0_faq"
"9","U01DCBKSX3K","1603263113.002100","0_faq"
"10","U01DPHUPUM6","1603269897.002200","0_faq"
"11","U01CZUK9REX","1603282191.002300","0_faq"
"12","U01CZNGBYBU","1603290811.002400","0_faq"
"13","U01D0BAHR7X","1603350573.002600","0_faq"
"14","U01D9K9KE3W","1603351251.002800","0_faq"
"15","U01DTA67SU8","1603351573.003000","0_faq"
"16","U01D3MR3E4T","1603352417.003200","0_faq"
"17","U01D3MSU9HR","1603352473.003400","0_faq"
"18","U01CWPSRRFY","1603352650.003600","0_faq"
"19","U01D3FWKESW","1603352679.003800","0_faq"
"20","U01DTCMB9CY","1603353937.004000","0_faq"
"21","U01D3Q06135","1603354576.004200","0_faq"
"22","U01DPHUPUM6","1603269897.002600","0_know-your-mentors"
"23","U01CZUK9REX","1603282191.002700","0_know-your-mentors"
"24","U01CZNGBYBU","1603290811.002800","0_know-your-mentors"
"25","U01D3MR3E4T","1603354062.008500","0_know-your-mentors"
"26","U01DTHU50RE","1603358756.008700","0_know-your-mentors"
"27","U01D0LHNDQV","1603359363.008900","0_know-your-mentors"
"28","U01DGEXNXSM","1603361983.009100","0_know-your-mentors"
"29","U01CP48A8NT","1603362185.009300","0_know-your-mentors"
"30","U01D45T9LUB","1603365478.009500","0_know-your-mentors"
"31","U01D0T9DUKF","1603366292.009700","0_know-your-mentors"
"32","U01D19UEZPX","1603375707.009900","0_know-your-mentors"
"33","U01DB341212","1603385294.010100","0_know-your-mentors"
"34","U01CRKKRPAS","1603232187.000200","0_team-info"
"35","U01CK0PV0KH","1603232190.000600","0_team-info"
"36","U01CT0ZAS2J","1603259823.001700","0_team-info"
"37","U01DCBKSX3K","1603263113.001800","0_team-info"
"38","U01DPHUPUM6","1603269897.001900","0_team-info"
"39","U01CZUK9REX","1603282191.002000","0_team-info"
"40","U01CZNGBYBU","1603290811.002100","0_team-info"
"41","U01D0BAHR7X","1603350573.002300","0_team-info"
"42","U01D9K9KE3W","1603351251.002500","0_team-info"
"43","U01DTA67SU8","1603351572.002700","0_team-info"
"44","U01D3MR3E4T","1603352416.002900","0_team-info"
"45","U01D3MSU9HR","1603352472.003100","0_team-info"
"46","U01CWPSRRFY","1603352649.003300","0_team-info"
"47","U01D3FWKESW","1603352679.003500","0_team-info"
"48","U01DTCMB9CY","1603353936.003700","0_team-info"
"49","U01D3Q06135","1603354575.003900","0_team-info"
"50","U01CK0PV0KH","1603230194.000800","0_useful-tools-resources"
"51","U01CT0ZAS2J","1603259823.001800","0_useful-tools-resources"
"52","U01DCBKSX3K","1603263113.001900","0_useful-tools-resources"
"53","U01DPHUPUM6","1603269897.002000","0_useful-tools-resources"
"54","U01CZUK9REX","1603282191.002100","0_useful-tools-resources"
"55","U01CZNGBYBU","1603290811.002200","0_useful-tools-resources"
"56","U01D0BAHR7X","1603350573.002400","0_useful-tools-resources"
"57","U01D9K9KE3W","1603351251.002600","0_useful-tools-resources"
"58","U01DTA67SU8","1603351572.002800","0_useful-tools-resources"
"59","U01D3MR3E4T","1603352416.003000","0_useful-tools-resources"
"60","U01D3MSU9HR","1603352473.003200","0_useful-tools-resources"
"61","U01CWPSRRFY","1603352650.003400","0_useful-tools-resources"
"62","U01D3FWKESW","1603352679.003600","0_useful-tools-resources"
"63","U01DTCMB9CY","1603353936.003800","0_useful-tools-resources"
"64","U01D3Q06135","1603354575.004000","0_useful-tools-resources"
"65","U01CRKKRPAS","1603262579.000200","0_zoom-links"
"66","U01DPHUPUM6","1603269897.000600","0_zoom-links"
"67","U01CZNGBYBU","1603290811.000700","0_zoom-links"
"68","U01D3MR3E4T","1603354060.001400","0_zoom-links"
"69","U01DTHU50RE","1603358756.001600","0_zoom-links"
"70","U01D0LHNDQV","1603359362.001800","0_zoom-links"
"71","U01DGEXNXSM","1603361983.002000","0_zoom-links"
"72","U01CP48A8NT","1603362185.002200","0_zoom-links"
"73","U01D45T9LUB","1603365478.002400","0_zoom-links"
"74","U01D0T9DUKF","1603366292.002600","0_zoom-links"
"75","U01D19UEZPX","1603375706.000200","0_zoom-links"
"76","U01DB341212","1603385294.000200","0_zoom-links"
"77","U01D2ER0VFF","1603399337.000200","0_zoom-links"
"78","U01D5Q8FS74","1603406012.000200","0_zoom-links"
"79","U01DCFTH0PN","1603433994.000200","0_zoom-links"
"80","U01DCMNTPHS","1603440973.000200","0_zoom-links"
"81","U01CZRPQLJJ","1603441842.000400","0_zoom-links"
"82","U01DDFNJ93N","1603463075.000200","0_zoom-links"
"83","U01D0V6J17Y","1603470086.000400","0_zoom-links"
"84","U01DXJALY9E","1603471314.000600","0_zoom-links"
"85","U01CRKKRPAS","1603229535.000200","ask-a-mentor"
"86","U01CK0PV0KH","1603230155.000600","ask-a-mentor"
"87","U01CT0ZAS2J","1603259823.001600","ask-a-mentor"
"88","U01DCBKSX3K","1603263113.001700","ask-a-mentor"
"89","U01DPHUPUM6","1603269897.001800","ask-a-mentor"
"90","U01CZUK9REX","1603282191.001900","ask-a-mentor"
"91","U01CZNGBYBU","1603290811.002000","ask-a-mentor"
"92","U01D0BAHR7X","1603350573.002200","ask-a-mentor"
"93","U01D9K9KE3W","1603351251.002400","ask-a-mentor"
"94","U01DTA67SU8","1603351572.002600","ask-a-mentor"
"95","U01D3MR3E4T","1603352416.002800","ask-a-mentor"
"96","U01D3MSU9HR","1603352472.003000","ask-a-mentor"
"97","U01CWPSRRFY","1603352650.003200","ask-a-mentor"
"98","U01D3FWKESW","1603352679.003400","ask-a-mentor"
"99","U01DTCMB9CY","1603353936.003600","ask-a-mentor"
"100","U01D3Q06135","1603354575.003800","ask-a-mentor"
"101","U01CRKKRPAS","1603262247.000200","ask-team-o17"
"102","U01CK0PV0KH","1603262252.000600","ask-team-o17"
"103","U01CT0ZAS2J","1603262252.000800","ask-team-o17"
"104","U01DCBKSX3K","1603263113.001800","ask-team-o17"
"105","U01DPHUPUM6","1603269897.001900","ask-team-o17"
"106","U01CZUK9REX","1603282191.002000","ask-team-o17"
"107","U01CZNGBYBU","1603290811.002100","ask-team-o17"
"108","U01D0BAHR7X","1603350573.002300","ask-team-o17"
"109","U01D9K9KE3W","1603351251.002500","ask-team-o17"
"110","U01DTA67SU8","1603351572.002700","ask-team-o17"
"111","U01D3MR3E4T","1603352416.002900","ask-team-o17"
"112","U01D3MSU9HR","1603352472.003100","ask-team-o17"
"113","U01CWPSRRFY","1603352649.003300","ask-team-o17"
"114","U01D3FWKESW","1603352679.003500","ask-team-o17"
"115","U01DTCMB9CY","1603353936.003700","ask-team-o17"
"116","U01D3Q06135","1603354575.003900","ask-team-o17"
"117","U01CRKKRPAS","1603361692.000200","crowdsourcing-citizenscience"
"118","U01DCBKSX3K","1603362991.003900","crowdsourcing-citizenscience"
"119","U01CZUK9REX","1603362991.004200","crowdsourcing-citizenscience"
"120","U01D0H609K7","1603364061.004400","crowdsourcing-citizenscience"
"121","U01DTCMB9CY","1603392388.000200","crowdsourcing-citizenscience"
"122","U01D0V6J17Y","1603477530.000200","crowdsourcing-citizenscience"
"123","U01DDFNJ93N","1603486627.000400","crowdsourcing-citizenscience"
"124","U01DB341212","1603550221.000200","crowdsourcing-citizenscience"
"125","U01CP48A8NT","1603796562.000200","crowdsourcing-citizenscience"
"126","U01ECRPS1S4","1604047592.000200","crowdsourcing-citizenscience"
"127","U01DTHU50RE","1604054274.001800","crowdsourcing-citizenscience"
"128","U01D19UEZPX","1604056449.002000","crowdsourcing-citizenscience"
"129","U01DYP4PB7A","1604079632.002200","crowdsourcing-citizenscience"
"130","U01DXJALY9E","1604099757.002400","crowdsourcing-citizenscience"
"131","U01DCFTH0PN","1604167044.000200","crowdsourcing-citizenscience"
"132","U01D3MR3E4T","1604240956.000200","crowdsourcing-citizenscience"
"133","U01E3TPUC68","1604492808.000200","crowdsourcing-citizenscience"
"134","U01D85RH0RL","1604496741.000400","crowdsourcing-citizenscience"
"135","U01E3DKE5QD","1605162671.000200","crowdsourcing-citizenscience"
"136","U01CRKKRPAS","1603363167.000200","datascience"
"137","U01CZUK9REX","1603363188.000500","datascience"
"138","U01D0LHNDQV","1603363189.000700","datascience"
"139","U01D0H609K7","1603364082.001000","datascience"
"140","U01DTHU50RE","1603376204.000200","datascience"
"141","U01D9K9KE3W","1603377901.000200","datascience"
"142","U01D0V6J17Y","1603477371.000200","datascience"
"143","U01DDFNJ93N","1603486713.000400","datascience"
"144","U01DB341212","1603550348.000200","datascience"
"145","U01DTCMB9CY","1603558071.000400","datascience"
"146","U01DDMRQWMQ","1603875212.000200","datascience"
"147","U01DCFTH0PN","1604167046.000200","datascience"
"148","U01D3MR3E4T","1604240962.000400","datascience"
