"","id","name","created","creator","is_archived","is_general","members"
"1","C01CHKAGHP1","introductions",1603200746,"U01CRKKRPAS",FALSE,TRUE,"U01CK0PV0KH, U01CP48A8NT, U01CRKKRPAS, U01CT0ZAS2J, U01CWKVMXPF, U01CWKW26E9, U01CWPSRRFY, U01CWRYL2VC, U01CXLVJMRD, U01CZNGBYBU, U01CZNGDK4J, U01CZRPQLJJ, U01CZUK9REX, U01D0BAHR7X, U01D0H609K7, U01D0LHNDQV, U01D0T9DUKF, U01D0V6J17Y, U01D19UEZPX, U01D2ER0VFF, U01D397D5DL, U01D3FWKESW, U01D3MR3E4T, U01D3MSU9HR, U01D3Q06135, U01D45T9LUB, U01D5Q8FS74, U01D5U28EMB, U01D80MDYG2, U01D85RH0RL, U01D8CCQWCA, U01D9K9KE3W, U01D9NTEZQU, U01D9NTG8HJ, U01D9NTHMPE, U01D9QMSWDB, U01DA1GEN1G, U01DAU73TS7, U01DB341212, U01DB9MEHTP, U01DBV0QWTX, U01DCBKGS01, U01DCBKSX3K, U01DCFTH0PN, U01DCMNTPHS, U01DDFNJ93N, U01DDMRQWMQ, U01DGEXNXSM, U01DHD3GAR2, U01DHTV55A9, U01DM05K125, U01DNKXRKL1, U01DNKZV8LR, U01DPHUPUM6, U01DQQD64TT, U01DTA67SU8, U01DTCMB9CY, U01DTHU50RE, U01DUKH034Z, U01DW7PF3PW, U01DW7ULJC9, U01DWMPAEMA, U01DXJALY9E, U01DYP4PB7A, U01E3DKE5QD, U01E3TPUC68, U01E6G1RX18, U01E6NCJUJF, U01ECRPS1S4"
"2","C01CKLUC02K","ask-team-o17",1603262247,"U01CRKKRPAS",FALSE,FALSE,"U01CK0PV0KH, U01CP48A8NT, U01CRKKRPAS, U01CT0ZAS2J, U01CWKVMXPF, U01CWKW26E9, U01CWPSRRFY, U01CWRYL2VC, U01CXLVJMRD, U01CZNGBYBU, U01CZNGDK4J, U01CZRPQLJJ, U01CZUK9REX, U01D0BAHR7X, U01D0H609K7, U01D0LHNDQV, U01D0T9DUKF, U01D0V6J17Y, U01D19UEZPX, U01D2ER0VFF, U01D397D5DL, U01D3FWKESW, U01D3MR3E4T, U01D3MSU9HR, U01D3Q06135, U01D45T9LUB, U01D5Q8FS74, U01D5U28EMB, U01D80MDYG2, U01D85RH0RL, U01D8CCQWCA, U01D9K9KE3W, U01D9NTEZQU, U01D9NTG8HJ, U01D9NTHMPE, U01D9QMSWDB, U01DA1GEN1G, U01DAU73TS7, U01DB341212, U01DB9MEHTP, U01DBV0QWTX, U01DCBKGS01, U01DCBKSX3K, U01DCFTH0PN, U01DCMNTPHS, U01DDFNJ93N, U01DDMRQWMQ, U01DGEXNXSM, U01DHD3GAR2, U01DHTV55A9, U01DM05K125, U01DNKXRKL1, U01DNKZV8LR, U01DPHUPUM6, U01DQQD64TT, U01DTA67SU8, U01DTCMB9CY, U01DTHU50RE, U01DUKH034Z, U01DW7PF3PW, U01DW7ULJC9, U01DWMPAEMA, U01DXJALY9E, U01DYP4PB7A, U01E3DKE5QD, U01E3TPUC68, U01E6G1RX18, U01E6NCJUJF, U01ECRPS1S4"
"3","C01CQ6GUKCP","team-aquatics",1603385652,"U01DGEXNXSM",FALSE,FALSE,"U01CRKKRPAS, U01D0H609K7, U01DB341212, U01DCBKSX3K, U01DGEXNXSM"
"4","C01CVAAHG8M","0_faq",1603201633,"U01CRKKRPAS",FALSE,FALSE,"U01CK0PV0KH, U01CP48A8NT, U01CRKKRPAS, U01CT0ZAS2J, U01CWKVMXPF, U01CWKW26E9, U01CWPSRRFY, U01CWRYL2VC, U01CXLVJMRD, U01CZNGBYBU, U01CZNGDK4J, U01CZRPQLJJ, U01CZUK9REX, U01D0BAHR7X, U01D0H609K7, U01D0LHNDQV, U01D0T9DUKF, U01D0V6J17Y, U01D19UEZPX, U01D2ER0VFF, U01D397D5DL, U01D3FWKESW, U01D3MR3E4T, U01D3MSU9HR, U01D3Q06135, U01D45T9LUB, U01D5Q8FS74, U01D5U28EMB, U01D80MDYG2, U01D85RH0RL, U01D8CCQWCA, U01D9K9KE3W, U01D9NTEZQU, U01D9NTG8HJ, U01D9NTHMPE, U01D9QMSWDB, U01DA1GEN1G, U01DAU73TS7, U01DB341212, U01DB9MEHTP, U01DBV0QWTX, U01DCBKGS01, U01DCBKSX3K, U01DCFTH0PN, U01DCMNTPHS, U01DDFNJ93N, U01DDMRQWMQ, U01DGEXNXSM, U01DHD3GAR2, U01DHTV55A9, U01DM05K125, U01DNKXRKL1, U01DNKZV8LR, U01DPHUPUM6, U01DQQD64TT, U01DTA67SU8, U01DTCMB9CY, U01DTHU50RE, U01DUKH034Z, U01DW7PF3PW, U01DW7ULJC9, U01DWMPAEMA, U01DXJALY9E, U01DYP4PB7A, U01E3DKE5QD, U01E3TPUC68, U01E6G1RX18, U01E6NCJUJF, U01ECRPS1S4"
"5","C01CX5FQ4Q6","datascience",1603363167,"U01CRKKRPAS",FALSE,FALSE,"U01CRKKRPAS, U01CZUK9REX, U01D0H609K7, U01D0LHNDQV, U01D0V6J17Y, U01D3MR3E4T, U01D85RH0RL, U01D9K9KE3W, U01DB341212, U01DCFTH0PN, U01DDFNJ93N, U01DDMRQWMQ, U01DTCMB9CY, U01DTHU50RE, U01E3DKE5QD, U01E3TPUC68"
"6","C01CXAE3VLM","sdginprogress-troubleshoot",1603261998,"U01CRKKRPAS",FALSE,FALSE,"U01CK0PV0KH, U01CP48A8NT, U01CRKKRPAS, U01CT0ZAS2J, U01CWKVMXPF, U01CWKW26E9, U01CZNGBYBU, U01CZNGDK4J, U01CZUK9REX, U01D0V6J17Y, U01D3MR3E4T, U01D45T9LUB, U01D85RH0RL, U01D9K9KE3W, U01DAU73TS7, U01DCBKGS01, U01DCBKSX3K, U01DCFTH0PN, U01DDMRQWMQ, U01DGEXNXSM, U01DPHUPUM6, U01E3DKE5QD, U01E3TPUC68"
"7","C01CY5ACXEK","team-floodfinder",1603756001,"U01D0V6J17Y",FALSE,FALSE,"U01CRKKRPAS, U01CZUK9REX, U01D0V6J17Y, U01D9QMSWDB"
"8","C01CYBNLCSE","random",1603200746,"U01CRKKRPAS",FALSE,FALSE,"U01CK0PV0KH, U01CP48A8NT, U01CRKKRPAS, U01CT0ZAS2J, U01CWKVMXPF, U01CWKW26E9, U01CWPSRRFY, U01CWRYL2VC, U01CXLVJMRD, U01CZNGBYBU, U01CZNGDK4J, U01CZRPQLJJ, U01CZUK9REX, U01D0BAHR7X, U01D0H609K7, U01D0LHNDQV, U01D0T9DUKF, U01D0V6J17Y, U01D19UEZPX, U01D2ER0VFF, U01D397D5DL, U01D3FWKESW, U01D3MR3E4T, U01D3MSU9HR, U01D3Q06135, U01D45T9LUB, U01D5Q8FS74, U01D5U28EMB, U01D80MDYG2, U01D85RH0RL, U01D8CCQWCA, U01D9K9KE3W, U01D9NTEZQU, U01D9NTG8HJ, U01D9NTHMPE, U01D9QMSWDB, U01DA1GEN1G, U01DAU73TS7, U01DB341212, U01DB9MEHTP, U01DBV0QWTX, U01DCBKGS01, U01DCBKSX3K, U01DCFTH0PN, U01DCMNTPHS, U01DDFNJ93N, U01DDMRQWMQ, U01DGEXNXSM, U01DHD3GAR2, U01DHTV55A9, U01DM05K125, U01DNKXRKL1, U01DNKZV8LR, U01DPHUPUM6, U01DQQD64TT, U01DTA67SU8, U01DTCMB9CY, U01DTHU50RE, U01DUKH034Z, U01DW7PF3PW, U01DW7ULJC9, U01DWMPAEMA, U01DXJALY9E, U01DYP4PB7A, U01E3DKE5QD, U01E3TPUC68, U01E6G1RX18, U01E6NCJUJF, U01ECRPS1S4"
"9","C01D01BU0G3","0_team-info",1603232187,"U01CRKKRPAS",FALSE,FALSE,"U01CK0PV0KH, U01CP48A8NT, U01CRKKRPAS, U01CT0ZAS2J, U01CWKVMXPF, U01CWKW26E9, U01CWPSRRFY, U01CWRYL2VC, U01CXLVJMRD, U01CZNGBYBU, U01CZNGDK4J, U01CZRPQLJJ, U01CZUK9REX, U01D0BAHR7X, U01D0H609K7, U01D0LHNDQV, U01D0T9DUKF, U01D0V6J17Y, U01D19UEZPX, U01D2ER0VFF, U01D397D5DL, U01D3FWKESW, U01D3MR3E4T, U01D3MSU9HR, U01D3Q06135, U01D45T9LUB, U01D5Q8FS74, U01D5U28EMB, U01D80MDYG2, U01D85RH0RL, U01D8CCQWCA, U01D9K9KE3W, U01D9NTEZQU, U01D9NTG8HJ, U01D9NTHMPE, U01D9QMSWDB, U01DA1GEN1G, U01DAU73TS7, U01DB341212, U01DB9MEHTP, U01DBV0QWTX, U01DCBKGS01, U01DCBKSX3K, U01DCFTH0PN, U01DCMNTPHS, U01DDFNJ93N, U01DDMRQWMQ, U01DGEXNXSM, U01DHD3GAR2, U01DHTV55A9, U01DM05K125, U01DNKXRKL1, U01DNKZV8LR, U01DPHUPUM6, U01DQQD64TT, U01DTA67SU8, U01DTCMB9CY, U01DTHU50RE, U01DUKH034Z, U01DW7PF3PW, U01DW7ULJC9, U01DWMPAEMA, U01DXJALY9E, U01DYP4PB7A, U01E3DKE5QD, U01E3TPUC68, U01E6G1RX18, U01E6NCJUJF, U01ECRPS1S4"
"10","C01D0DVJPNE","0_know-your-mentors",1603263201,"U01CRKKRPAS",FALSE,FALSE,"U01CK0PV0KH, U01CP48A8NT, U01CRKKRPAS, U01CT0ZAS2J, U01CWKVMXPF, U01CWKW26E9, U01CXLVJMRD, U01CZNGBYBU, U01CZNGDK4J, U01CZRPQLJJ, U01CZUK9REX, U01D0LHNDQV, U01D0T9DUKF, U01D0V6J17Y, U01D19UEZPX, U01D2ER0VFF, U01D397D5DL, U01D3MR3E4T, U01D3MSU9HR, U01D45T9LUB, U01D5Q8FS74, U01D5U28EMB, U01D80MDYG2, U01D85RH0RL, U01D8CCQWCA, U01D9QMSWDB, U01DA1GEN1G, U01DAU73TS7, U01DB341212, U01DB9MEHTP, U01DBV0QWTX, U01DCBKGS01, U01DCBKSX3K, U01DCFTH0PN, U01DCMNTPHS, U01DDFNJ93N, U01DDMRQWMQ, U01DGEXNXSM, U01DHD3GAR2, U01DHTV55A9, U01DM05K125, U01DNKXRKL1, U01DNKZV8LR, U01DPHUPUM6, U01DQQD64TT, U01DTHU50RE, U01DUKH034Z, U01DW7PF3PW, U01DW7ULJC9, U01DWMPAEMA, U01DXJALY9E, U01DYP4PB7A, U01E3DKE5QD, U01E3TPUC68, U01E6G1RX18, U01E6NCJUJF, U01ECRPS1S4"
