"","reaction_by","source_message_from","source_message_timestamp","reaction_name","channel"
"1","U01DB341212","U01CRKKRPAS","1604311507.012500","100","0_announcements-read-only"
"2","U01D3MR3E4T","U01CRKKRPAS","1604499112.029100","heart","0_announcements-read-only"
"3","U01D45T9LUB","U01CRKKRPAS","1604499112.029100","heart","0_announcements-read-only"
"4","U01D0T9DUKF","U01CRKKRPAS","1604499112.029100","heart","0_announcements-read-only"
"5","U01CT0ZAS2J","U01CRKKRPAS","1605104278.004400","pray","0_announcements-read-only"
"6","U01D5U28EMB","U01CRKKRPAS","1605104278.004400","pray","0_announcements-read-only"
"7","U01DB341212","U01CK0PV0KH","1605709303.019500","+1","0_announcements-read-only"
"8","U01D45T9LUB","U01CRKKRPAS","1606391476.023700","+1","0_announcements-read-only"
"9","U01D3MR3E4T","U01CRKKRPAS","1606391476.023700","+1","0_announcements-read-only"
"10","U01DB341212","U01CRKKRPAS","1606391476.023700","+1","0_announcements-read-only"
"11","U01DTCMB9CY","U01CRKKRPAS","1606391476.023700","+1","0_announcements-read-only"
"12","U01D0H609K7","U01CRKKRPAS","1606391476.023700","+1","0_announcements-read-only"
"13","U01E3TPUC68","U01CRKKRPAS","1606391476.023700","smiley","0_announcements-read-only"
"14","U01E3TPUC68","U01CRKKRPAS","1606736208.025900","tada","0_announcements-read-only"
"15","U01DBV0QWTX","U01CRKKRPAS","1607450100.008000","+1","0_announcements-read-only"
"16","U01DCFTH0PN","U01CRKKRPAS","1607450100.008000","+1","0_announcements-read-only"
"17","U01D45T9LUB","U01CRKKRPAS","1607450100.008000","+1","0_announcements-read-only"
"18","U01D0T9DUKF","U01CRKKRPAS","1607450100.008000","+1","0_announcements-read-only"
"19","U01D8CCQWCA","U01CRKKRPAS","1607450100.008000","+1","0_announcements-read-only"
"20","U01D9K9KE3W","U01CRKKRPAS","1607450100.008000","+1","0_announcements-read-only"
"21","U01D3MR3E4T","U01CRKKRPAS","1607450100.008000","+1","0_announcements-read-only"
"22","U01D5U28EMB","U01CRKKRPAS","1607450100.008000","+1","0_announcements-read-only"
"23","U01E3TPUC68","U01CRKKRPAS","1607450100.008000","blush","0_announcements-read-only"
"24","U01D0T9DUKF","U01CRKKRPAS","1607450100.008000","blush","0_announcements-read-only"
"25","U01D0LHNDQV","U01CRKKRPAS","1605372270.001200","+1","ask-team-o17"
"26","U01DTCMB9CY","U01CRKKRPAS","1603355781.012200","+1","introductions"
"27","U01CP48A8NT","U01CRKKRPAS","1603355781.012200","+1","introductions"
"28","U01D0T9DUKF","U01CRKKRPAS","1603355781.012200","+1","introductions"
"29","U01DCFTH0PN","U01CRKKRPAS","1603355781.012200","+1","introductions"
"30","U01CRKKRPAS","U01DTCMB9CY","1603357842.016400","+1","introductions"
"31","U01D3MR3E4T","U01DTCMB9CY","1603357842.016400","+1","introductions"
"32","U01CP48A8NT","U01DTCMB9CY","1603357842.016400","+1","introductions"
"33","U01D0T9DUKF","U01DTCMB9CY","1603357842.016400","+1","introductions"
"34","U01D45T9LUB","U01DTCMB9CY","1603357842.016400","+1","introductions"
"35","U01DCFTH0PN","U01DTCMB9CY","1603357842.016400","+1","introductions"
