"","Team.Name","Gender","Nationality","Country.of.Residence","Age"
"1","Collaborative Water Monitoring","Female","American","United States of America",23
"2","Thousand Waters","Female","Brazilian","Brazil",26
"3","Thousand Waters","Male","Brazilian","Brazil",24
"4","Potamoi","Male","Brazilian","France",22
"5","Rainwater Harvesting","Female","Burmese","Myanmar",22
"6","Rainwater Collection","Male","Burundian","Burundi",38
"7","Warbon Footprint","Female","Chinese","China",25
"8","Warbon Footprint","Female","Chinese","United Kingdom",27
"9","To See To Care","Male","Chinese","China",22
"10","To See To Care","Female","Chinese","China",21
"11","Warbon Footprint","Female","Chinese","United Kingdom",24
"12","Ecolution","Female","Ethiopian","Ethiopia",23
"13","Ecolution","Female","Ethiopian","Turkey",21
"14","MNL","Female","Filipino","Philippines",18
"15","MNL","Female","Filipino","Philippines",18
"16","Potamoi","Male","French","France",21
"17","Potamoi","Female","French","France",22
"18","Ecolution","Female","French","France",22
"19","Collaborative Water Monitoring","Female","Indian","India",23
"20","Collaborative Water Monitoring","Female","Indian","India",23
"21","Daily Water","Male","Indian","India",23
"22","Wotter","Female","Indian","India",15
"23","Garuda Savior","Male","Indonesian","Indonesia",27
"24","Garuda Savior","Female","Indonesian","Indonesia",21
"25","Garuda Savior","Male","Indonesian","Indonesia",21
"26","Garuda Savior","Female","Indonesian","Indonesia",21
"27","Daily Water","Male","Iranian","Iran",17
"28","Safe water for homeless","Female","Italian","Italy",18
"29","Safe water for homeless","Male","Italian","Italy",17
"30","Filsteiner","Male","Italian","Italy",16
"31","Safe water for homeless","Female","Italian","Italy",17
"32","Safe water for homeless","Female","Italian","Italy",17
"33","Filsteiner","Male","Italian","Italy",16
"34","Ecolution","Female","Ivorian","United States of America",23
"35","Rainwater Harvesting","Female","Burmese","Myanmar",22
"36","FEWS","Male","Nigerian","Nigeria",28
"37","Rainwater Collection","Male","Nigerian","Nigeria",32
"38","Wotter","Male","Nigerian","Nigeria",24
"39","Safeskye","Male","Nigerian","Nigeria",28
"40","Aquatics","Male","Nigerian","Nigeria",25
"41","Aquatics","Male","Nigerian","Nigeria",26
"42","Daily water","Female","Nigerian","Nigeria",24
"43","Aquatics","Male","Nigerian","Nigeria",25
"44","FEWS","Female","Nigerian","Nigeria",29
"45","Aquatics","Male","Nigerian","Nigeria",25
"46","Collaborative Water Monitoring","Male","Spanish","Spain",22
"47","Flood Finder","Female","American","United States of America",15
"48","FloodMaps","Female","American","United States of America",17
