"","from","to","timestamp","channel"
"1","U01CRKKRPAS","channel","1603361577.014900","0_announcements-read-only"
"2","U01CRKKRPAS","channel","1603431853.003500","0_announcements-read-only"
"3","U01CRKKRPAS","channel","1603557184.007400","0_announcements-read-only"
"4","U01CRKKRPAS","channel","1603883167.002700","0_announcements-read-only"
"5","U01DYP4PB7A","U01CRKKRPAS","1603886734.004700","0_announcements-read-only"
"6","U01CRKKRPAS","U01CXLVJMRD","1603894845.004800","0_announcements-read-only"
"7","U01CRKKRPAS","U01CZNGBYBU","1603894845.004800","0_announcements-read-only"
"8","U01CRKKRPAS","U01ECRPS1S4","1604047963.014500","0_announcements-read-only"
"9","U01CRKKRPAS","channel","1604047963.014500","0_announcements-read-only"
"10","U01DB341212","U01CRKKRPAS","1604054237.015200","0_announcements-read-only"
"11","U01CRKKRPAS","channel","1604226812.005800","0_announcements-read-only"
"12","U01D45T9LUB","U01CRKKRPAS","1604227804.006300","0_announcements-read-only"
"13","U01D45T9LUB","U01CRKKRPAS","1604228034.006900","0_announcements-read-only"
"14","U01CRKKRPAS","U01D45T9LUB","1604228455.007000","0_announcements-read-only"
"15","U01CRKKRPAS","U01CZNGBYBU","1604228455.007000","0_announcements-read-only"
"16","U01D45T9LUB","U01CRKKRPAS","1604229141.007200","0_announcements-read-only"
"17","U01CRKKRPAS","channel","1604230227.008800","0_announcements-read-only"
"18","U01CRKKRPAS","channel","1604311507.012500","0_announcements-read-only"
"19","U01CRKKRPAS","channel","1604485422.023300","0_announcements-read-only"
"20","U01CRKKRPAS","U01CZUK9REX","1604486599.025400","0_announcements-read-only"
"21","U01CRKKRPAS","channel","1604486599.025400","0_announcements-read-only"
"22","U01CRKKRPAS","channel","1604499112.029100","0_announcements-read-only"
"23","U01CRKKRPAS","U01CRKKRPAS","1604499791.032600","0_announcements-read-only"
"24","U01CRKKRPAS","U01CZUK9REX","1604499791.032600","0_announcements-read-only"
"25","U01CRKKRPAS","U01CZUK9REX","1604499791.032600","0_announcements-read-only"
"26","U01CRKKRPAS","channel","1604499791.032600","0_announcements-read-only"
"27","U01CRKKRPAS","channel","1605104278.004400","0_announcements-read-only"
"28","U01CRKKRPAS","U01CRKKRPAS","1605213049.013000","0_announcements-read-only"
"29","U01CRKKRPAS","U01CK0PV0KH","1605213049.013000","0_announcements-read-only"
"30","U01CRKKRPAS","U01CZUK9REX","1605213049.013000","0_announcements-read-only"
"31","U01CRKKRPAS","U01DWMPAEMA","1605213049.013000","0_announcements-read-only"
"32","U01CRKKRPAS","U01CT0ZAS2J","1605213049.013000","0_announcements-read-only"
"33","U01CRKKRPAS","U01DPHUPUM6","1605213049.013000","0_announcements-read-only"
"34","U01CRKKRPAS","U01CRKKRPAS","1605213049.013000","0_announcements-read-only"
"35","U01CRKKRPAS","U01CZUK9REX","1605213049.013000","0_announcements-read-only"
"36","U01CRKKRPAS","channel","1605213049.013000","0_announcements-read-only"
"37","U01CRKKRPAS","U01CZUK9REX","1605274689.015300","0_announcements-read-only"
"38","U01CRKKRPAS","channel","1605274689.015300","0_announcements-read-only"
"39","U01DPHUPUM6","U01CRKKRPAS","1605287028.019500","0_announcements-read-only"
"40","U01DPHUPUM6","U01CZNGBYBU","1605287028.019500","0_announcements-read-only"
"41","U01DPHUPUM6","U01DPHUPUM6","1605287028.019500","0_announcements-read-only"
"42","U01DPHUPUM6","U01DWMPAEMA","1605287028.019500","0_announcements-read-only"
"43","U01DPHUPUM6","U01CT0ZAS2J","1605287028.019500","0_announcements-read-only"
"44","U01DPHUPUM6","channel","1605287028.019500","0_announcements-read-only"
"45","U01CRKKRPAS","U01CRKKRPAS","1605520678.002300","0_announcements-read-only"
"46","U01CRKKRPAS","U01DW7PF3PW","1605520678.002300","0_announcements-read-only"
"47","U01CRKKRPAS","U01DWMPAEMA","1605520678.002300","0_announcements-read-only"
"48","U01CRKKRPAS","U01CT0ZAS2J","1605520678.002300","0_announcements-read-only"
"49","U01CRKKRPAS","channel","1605520678.002300","0_announcements-read-only"
"50","U01CRKKRPAS","channel","1605526694.004200","0_announcements-read-only"
"51","U01DPHUPUM6","channel","1605564165.005300","0_announcements-read-only"
"52","U01CRKKRPAS","U01DW7ULJC9","1605694836.009000","0_announcements-read-only"
"53","U01CRKKRPAS","U01DW7ULJC9","1605694864.009300","0_announcements-read-only"
"54","U01DW7ULJC9","U01CRKKRPAS","1605696795.010000","0_announcements-read-only"
"55","U01CRKKRPAS","channel","1605697387.013600","0_announcements-read-only"
"56","U01CRKKRPAS","channel","1605701116.014400","0_announcements-read-only"
"57","U01D8CCQWCA","U01CRKKRPAS","1605701149.015000","0_announcements-read-only"
"58","U01D8CCQWCA","U01CRKKRPAS","1605702449.017300","0_announcements-read-only"
"59","U01CRKKRPAS","channel","1606391476.023700","0_announcements-read-only"
"60","U01CRKKRPAS","channel","1606736208.025900","0_announcements-read-only"
