"","user","ts","thread_ts","parent"
"1","U01CRKKRPAS","1603894845.004800","1603886734.004700","U01DYP4PB7A"
"2","U01DYP4PB7A","1603894959.005000","1603886734.004700","U01DYP4PB7A"
"3","U01CRKKRPAS","1603895122.005200","1603886734.004700","U01DYP4PB7A"
"4","U01DPHUPUM6","1603965498.010400","1603916860.010000","U01DTCMB9CY"
"5","U01CRKKRPAS","1604228455.007000","1604228034.006900","U01D45T9LUB"
"6","U01D45T9LUB","1604229141.007200","1604228034.006900","U01D45T9LUB"
"7","U01CRKKRPAS","1603963727.004000","1603961638.003900","U01D3MSU9HR"
"8","U01DPHUPUM6","1603965926.004200","1603961638.003900","U01D3MSU9HR"
"9","U01DPHUPUM6","1603965933.004400","1603961638.003900","U01D3MSU9HR"
"10","U01CRKKRPAS","1603814641.002400","1603812619.002300","U01DYP4PB7A"
"11","U01CRKKRPAS","1603430751.000100","1603375960.008200","U01DTHU50RE"
"12","U01DTHU50RE","1603440383.001100","1603375960.008200","U01DTHU50RE"
"13","U01CRKKRPAS","1603430855.000300","1603396872.011400","U01D45T9LUB"
"14","U01D45T9LUB","1603436023.000600","1603396872.011400","U01D45T9LUB"
"15","U01DTHU50RE","1603798483.017500","1603724398.004300","U01CRKKRPAS"
"16","U01CRKKRPAS","1603724833.006700","1603724639.006600","U01D45T9LUB"
"17","U01D45T9LUB","1603725153.006900","1603724639.006600","U01D45T9LUB"
"18","U01D0LHNDQV","1603791407.012100","1603791357.011600","U01CRKKRPAS"
"19","U01D0LHNDQV","1603791429.012300","1603791357.011600","U01CRKKRPAS"
"20","U01D0LHNDQV","1603791437.012500","1603791357.011600","U01CRKKRPAS"
"21","U01CRKKRPAS","1603791731.012700","1603791357.011600","U01CRKKRPAS"
"22","U01D0LHNDQV","1603791828.013100","1603791357.011600","U01CRKKRPAS"
"23","U01CRKKRPAS","1603798188.015500","1603797783.015400","U01CP48A8NT"
"24","U01CP48A8NT","1603798260.015700","1603797783.015400","U01CP48A8NT"
"25","U01CRKKRPAS","1603829331.018400","1603825560.018300","U01DB9MEHTP"
"26","U01CRKKRPAS","1603870885.027700","1603868676.027400","U01D8CCQWCA"
"27","U01D8CCQWCA","1603874713.032300","1603868676.027400","U01D8CCQWCA"
"28","U01CRKKRPAS","1603871258.031900","1603871115.031800","U01D0BAHR7X"
