"","user","thread_timestamp","reply_count","reply_user_count","channel"
"1","U01DYP4PB7A","1603886734.004700",3,2,"0_announcements-read-only"
"2","U01DTCMB9CY","1603916860.010000",1,1,"0_announcements-read-only"
"3","U01D45T9LUB","1604228034.006900",2,2,"0_announcements-read-only"
"4","U01D3MSU9HR","1603961638.003900",3,2,"0_channel-directory"
"5","U01DYP4PB7A","1603812619.002300",1,1,"0_team-info"
"6","U01DTHU50RE","1603375960.008200",2,2,"ask-a-mentor"
"7","U01D45T9LUB","1603396872.011400",2,2,"ask-a-mentor"
"8","U01CRKKRPAS","1603724398.004300",1,1,"ask-a-mentor"
"9","U01D45T9LUB","1603724639.006600",2,2,"ask-a-mentor"
"10","U01CRKKRPAS","1603791357.011600",5,2,"ask-a-mentor"
"11","U01CP48A8NT","1603797783.015400",2,2,"ask-a-mentor"
"12","U01DB9MEHTP","1603825560.018300",1,1,"ask-a-mentor"
"13","U01D8CCQWCA","1603868676.027400",2,2,"ask-a-mentor"
"14","U01D0BAHR7X","1603871115.031800",3,2,"ask-a-mentor"
"15","U01DBV0QWTX","1604325853.001000",2,2,"ask-a-mentor"
"16","U01DB341212","1604600019.010800",3,2,"ask-a-mentor"
"17","U01CRKKRPAS","1603361176.015200",4,2,"ask-team-o17"
"18","U01D0LHNDQV","1603361683.018500",2,2,"ask-team-o17"
"19","U01D9K9KE3W","1603378590.022600",2,2,"ask-team-o17"
"20","U01D9K9KE3W","1603798046.003200",1,1,"ask-team-o17"
"21","U01D0LHNDQV","1604095579.007200",3,2,"ask-team-o17"
"22","U01DYP4PB7A","1604432982.009600",2,2,"ask-team-o17"
"23","U01D0H609K7","1604478187.012600",2,2,"ask-team-o17"
"24","U01CRKKRPAS","1604479502.018700",1,1,"ask-team-o17"
"25","U01DHD3GAR2","1605451451.003000",1,1,"ask-team-o17"
"26","U01D0BAHR7X","1603351019.004700",3,2,"introductions"
"27","U01D3MR3E4T","1603358219.021400",2,2,"introductions"
"28","U01DCMNTPHS","1603810895.001500",1,1,"introductions"
"29","U01DYP4PB7A","1603715088.007300",3,2,"step1-team-formation"
"30","U01D0T9DUKF","1607449758.001300",1,1,"step1-team-formation"
"31","U01D0H609K7","1604229129.002700",2,2,"team-aquatics"
"32","U01DGEXNXSM","1604229194.004300",2,2,"team-aquatics"
"33","U01DB341212","1605175735.004000",1,1,"team-aquatics"
"34","U01D0BAHR7X","1604438634.004000",1,1,"team-collaborativewatermonitoring"
"35","U01D0BAHR7X","1605696977.004300",1,1,"team-collaborativewatermonitoring"
"36","U01DPHUPUM6","1605693377.000200",1,1,"team-dailywater"
"37","U01DTCMB9CY","1604240197.012000",1,1,"team-fews"
"38","U01DTHU50RE","1605284124.010800",1,1,"team-fews"
"39","U01DTHU50RE","1605284185.012500",1,1,"team-fews"
"40","U01DTHU50RE","1605284225.013200",1,1,"team-fews"
"41","U01DTCMB9CY","1605289144.026500",2,2,"team-fews"
"42","U01D0V6J17Y","1604239466.004600",2,2,"team-floodfinder"
"43","U01D0V6J17Y","1604239571.006400",1,1,"team-floodfinder"
"44","U01D0V6J17Y","1604240021.010100",2,2,"team-floodfinder"
"45","U01D0V6J17Y","1604974208.007600",3,2,"team-floodfinder"
"46","U01D0V6J17Y","1605280766.001700",2,2,"team-floodfinder"
"47","U01CRKKRPAS","1605491101.001200",1,1,"team-floodfinder"
"48","U01D5U28EMB","1604724940.002800",1,1,"team-garudasavior"
"49","U01CRKKRPAS","1605010260.016100",1,1,"team-garudasavior"
"50","U01CRKKRPAS","1605019206.029800",2,2,"team-garudasavior"
"51","U01CT0ZAS2J","1604319652.015600",2,2,"team-mnl"
"52","U01CT0ZAS2J","1604319676.016000",2,2,"team-mnl"
"53","U01CT0ZAS2J","1604319723.016700",2,2,"team-mnl"
"54","U01CT0ZAS2J","1604319754.017000",1,1,"team-mnl"
"55","U01CT0ZAS2J","1604319772.017400",1,1,"team-mnl"
"56","U01CT0ZAS2J","1604319814.017900",2,2,"team-mnl"
"57","U01CT0ZAS2J","1604319836.018300",1,1,"team-mnl"
