"","comp_team","id","timezone","is_deleted","is_admin","is_owner","is_primary_owner","is_restricted","is_ultra_restricted","is_bot","is_app_user","is_invited_user","updated","Team","index"
"1","Dropped Out","U01DM05K125","Africa/Algiers",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1603485891,"Dropped Out / Non Participant","#C6B18B"
"2","Dropped Out","U01DYP4PB7A","Africa/Algiers",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603698805,"Safeskye - Dropped Out","#C6B18B"
"3","Dropped Out","U01CWPSRRFY","Asia/Kolkata",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603358704,"Dropped Out / Non Participant","#C6B18B"
"4","Dropped Out","U01CXLVJMRD","Africa/Algiers",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603742073,"Safeskye - Dropped Out","#C6B18B"
"5","Dropped Out","U01D3FWKESW","Asia/Kolkata",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603352678,"Dropped Out / Non Participant","#C6B18B"
"6","External Resource","U01DUKH034Z","Europe/Amsterdam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1605966031,"External Resource","#B3B3B3"
"7","Mentor","U01CWKW26E9","Europe/Amsterdam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1603229879,"Mentor","#AB98C8"
"8","Mentor","U01DWMPAEMA","Asia/Kuala_Lumpur",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1606312755,"Mentor","#AB98C8"
"9","Mentor","U01D9NTEZQU","Europe/Amsterdam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1612535699,"Mentor","#AB98C8"
"10","Mentor","U01CWKVMXPF","Europe/Amsterdam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1603229869,"Mentor","#AB98C8"
"11","Mentor","U01CT0ZAS2J","Europe/Amsterdam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1604494911,"Mentor","#AB98C8"
"12","Mentor","U01DCBKGS01","Europe/Amsterdam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1603229857,"Mentor","#AB98C8"
"13","Mentor","U01DW7PF3PW","Europe/Amsterdam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1604072433,"Mentor","#AB98C8"
"14","NO IDEA","U01DHTV55A9","Europe/Amsterdam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1603987342,"NO IDEA","#E1D83B"
"15","Organiser","U01DCBKSX3K","Europe/Brussels",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603263175,"Organiser","#E99073"
"16","Organiser","U01CZNGDK4J","Europe/Amsterdam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1603229873,"Organiser","#E99073"
"17","Organiser","U01CRKKRPAS","Europe/Amsterdam",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1604487675,"Organiser","#E99073"
"18","Organiser","U01DPHUPUM6","Europe/Brussels",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1609095286,"Organiser","#E99073"
"19","Organiser","U01CZNGBYBU","Europe/Amsterdam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1605275450,"Organiser","#E99073"
"20","Organiser","U01ECRPS1S4","Europe/Amsterdam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1604047160,"Organiser","#E99073"
"21","Organiser","U01CK0PV0KH","Europe/Amsterdam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603230057,"Organiser","#E99073"
"22","Organiser","U01CZUK9REX","Europe/Amsterdam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603810266,"Organiser","#E99073"
"23","Project Partner","U01D9NTHMPE","Europe/Brussels",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1611914052,"Project Partner","#E9C783"
"24","Project Partner","U01CWRYL2VC","Europe/Brussels",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603355581,"Project Partner","#E9C783"
"25","Project Partner","U01D9NTG8HJ","Europe/Brussels",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603886334,"Project Partner","#E9C783"
"26","Team","U01DDFNJ93N","Africa/Algiers",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603463078,"Rainwater Collection","#66C2A5"
"27","Team","U01D0V6J17Y","America/Los_Angeles",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603487355,"Flood Finder","#66C2A5"
"28","Team","U01D19UEZPX","Asia/Istanbul",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603375711,"Ecolution","#66C2A5"
"29","Team","U01DB9MEHTP","Asia/Kolkata",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603871943,"Collaborative Water Monitoring","#66C2A5"
"30","Team","U01D0BAHR7X","Asia/Kolkata",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603355237,"Collaborative Water Monitoring","#66C2A5"
"31","Team","U01D80MDYG2","America/New_York",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603476760,"Collaborative Water Monitoring","#66C2A5"
"32","Team","U01E3TPUC68","America/Sao_Paulo",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1605701257,"Thousand Waters","#66C2A5"
"33","Team","U01D8CCQWCA","Africa/Harare",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1604064760,"Rainwater Collection","#66C2A5"
"34","Team","U01DTCMB9CY","Africa/Algiers",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603357520,"FEWS","#66C2A5"
"35","Team","U01DW7ULJC9","America/Sao_Paulo",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603902230,"Thousand Waters","#66C2A5"
"36","Team","U01D5Q8FS74","Europe/Amsterdam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603406014,"Collaborative Water Monitoring","#66C2A5"
"37","Team","U01DGEXNXSM","Africa/Algiers",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1605537308,"Aquatics","#66C2A5"
"38","Team","U01D85RH0RL","Asia/Bangkok",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603817363,"Garuda Savior","#66C2A5"
"39","Team","U01D9QMSWDB","America/New_York",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603756263,"Flood Finder","#66C2A5"
"40","Team","U01E6NCJUJF","Europe/London",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1604669066,"Warbon Footprint","#66C2A5"
"41","Team","U01CP48A8NT","Asia/Chongqing",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1605246621,"MNL","#66C2A5"
"42","Team","U01E3DKE5QD","Asia/Chongqing",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1605085135,"Warbon Footprint","#66C2A5"
"43","Team","U01D397D5DL","Europe/Amsterdam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603659360,"Safe water for homeless","#66C2A5"
"44","Team","U01D5U28EMB","Asia/Bangkok",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603543407,"Garuda Savior","#66C2A5"
"45","Team","U01DNKZV8LR","Europe/Amsterdam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603694972,"Safe water for homeless","#66C2A5"
"46","Team","U01DTHU50RE","Africa/Algiers",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603358766,"FEWS","#66C2A5"
"47","Team","U01D0LHNDQV","Europe/Brussels",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1611755044,"Potamoi","#66C2A5"
"48","Team","U01D3MSU9HR","Asia/Chongqing",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603785727,"MNL","#66C2A5"
"49","Team","U01CZRPQLJJ","Asia/Rangoon",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603441842,"Rainwater Harvesting","#66C2A5"
"50","Team","U01D2ER0VFF","Europe/Moscow",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603400565,"Ecolution","#66C2A5"
"51","Team","U01D3MR3E4T","Asia/Kolkata",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603354035,"Daily Water","#66C2A5"
"52","Team","U01DNKXRKL1","Europe/Amsterdam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603695436,"Potamoi","#66C2A5"
"53","Team","U01DQQD64TT","Europe/Amsterdam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603752088,"Filsteiner","#66C2A5"
"54","Team","U01DTA67SU8","Asia/Chongqing",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603351577,"To See To Care","#66C2A5"
"55","Team","U01D3Q06135","Asia/Tehran",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603354660,"Daily Water","#66C2A5"
"56","Team","U01DAU73TS7","Asia/Bangkok",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603703013,"Garuda Savior","#66C2A5"
"57","Team","U01D0T9DUKF","Asia/Kolkata",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1604492075,"Wotter","#66C2A5"
"58","Team","U01DXJALY9E","America/New_York",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603471317,"Flood Maps","#66C2A5"
"59","Team","U01DDMRQWMQ","Africa/Algiers",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603836053,"Daily Water","#66C2A5"
"60","Team","U01DB341212","Africa/Algiers",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1606412606,"Aquatics","#66C2A5"
"61","Team","U01DCMNTPHS","Asia/Rangoon",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603442178,"Rainwater Harvesting","#66C2A5"
"62","Team","U01D0H609K7","Africa/Algiers",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603356641,"Aquatics","#66C2A5"
"63","Team","U01DA1GEN1G","Europe/Amsterdam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1603659984,"Safe water for homeless","#66C2A5"
"64","Team","U01DHD3GAR2","Asia/Bangkok",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603719166,"Garuda Savior","#66C2A5"
"65","Team","U01D9K9KE3W","Asia/Chongqing",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1603351639,"To See To Care","#66C2A5"
"66","Team","U01DBV0QWTX","Europe/London",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1604326130,"Warbon Footprint","#66C2A5"
"67","Team","U01E6G1RX18","Europe/London",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1604668681,"Warbon Footprint","#66C2A5"
"68","Team","U01DCFTH0PN","America/New_York",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1605374278,"Ecolution","#66C2A5"
"69","Team","U01D45T9LUB","Africa/Algiers",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1605700521,"Wotter","#66C2A5"
